Job Title,Skills
Junior Front End Developer,"javascript, html, css, react, vue.js, git, ui/ux basics"
Junior IOS Developer,"swift, objective-c, ios sdk, xcode, ui/ux basics, git"
Junior Software Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Software Engineer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Web Developer,"html, css, javascript, git, web development fundamentals, ui/ux basics"
JUnit Engineer,"junit, java, testing, unit testing, test automation, ci/cd"
kubernetes Administrator,"kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security"
Kubernetes Engineer,"kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security"
Machine Learning Engineer,"python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms"
MAVEN Engineer,"maven, java, build automation, dependency management, ci/cd, version control, git"
Micro services / API Lead Designer,"microservices, api design, rest apis, soa, cloud computing, java, python, security"
MOBILE APP DEVELOPER,"android sdk, java, kotlin, ios, swift, objective-c, react native, flutter, mobile development, ui/ux design"
Mobile Application Developer,"android sdk, java, kotlin, ios, swift, objective-c, react native, flutter, mobile development, ui/ux design"
Mulesoft Developer,"mulesoft, anypoint platform, api development, integration, java, rest apis, soa"
Nagios Engineer,"nagios, monitoring, linux, scripting, alerting, system administration, networking"
Network and Systems Administrator,"networking, linux, windows server, troubleshooting, scripting, automation, system administration"
Network Engineer,"tcp/ip, lan/wan, routing, switching, firewalls, vpn, cisco, security, networking protocols"
New Grad Software Engineer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
New Relic Engineer,"new relic, application performance monitoring, troubleshooting, java, .net, cloud computing, metrics, alerting"
Nexus Engineer,"nexus, artifact repository, maven, gradle, docker, ci/cd, build automation"
Nomad Engineer,"nomad, container orchestration, docker, linux, cloud computing, automation, networking"
Notary Engineer,"notary, security, docker, container security, cryptography, trust management"
Octopus Deploy Engineer,"octopus deploy, deployment automation, ci/cd, .net, powershell, scripting, cloud computing"
OpenShift Engineer,"openshift, kubernetes, docker, linux, cloud computing, ci/cd, automation, security"
OpenStack Engineer,"openstack, cloud computing, virtualization, networking, linux, automation, scripting"
Oracle Developer,"oracle, sql, pl/sql, database design, performance tuning, etl"
Oracle SQL Developer,"oracle sql developer, sql, pl/sql, database development, performance tuning, etl"
Packer Engineer,"packer, infrastructure as code, cloud computing, automation, aws, azure, google cloud"
PHP Developer,"php, mysql, laravel, javascript, css, html, restful apis, symfony, git"
Powershell Engineer,"powershell, scripting, automation, windows server, cloud computing, active directory"
PRODUCT MANAGER,"product management, agile methodologies, user research, roadmap planning, stakeholder management, communication"
Programmer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
Programmer Analyst,"programming, data analysis, requirements gathering, sql, data modeling, process improvement"
Prometheus Engineer,"prometheus, monitoring, alerting, metrics, kubernetes, docker, cloud computing"
Puppet Engineer,"puppet, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code"
PyTest Engineer,"pytest, python, testing, unit testing, test automation, ci/cd"
Python Developer,"python, django, flask, rest apis, sql, data structures, algorithms, cloud computing, linux, docker, git"
QA Engineer,"automation testing, selenium, junit, testng, ci/cd, python, git, jenkins, test automation, agile testing, performance testing"
React Developer,"javascript, react, html, css, node.js, redux, ui/ux design, git"
Robotics Engineer,"robotics, c++, python, ros, embedded systems, control systems, sensors, actuators"
RUBY ON RAILS DEVELOPER,"ruby on rails, ruby, sql, html, css, javascript, rest apis, git"
Salesforce Developer,"salesforce, apex, visualforce, lightning, soql, salesforce administration, rest apis"
Search Engine Optimization,"seo, keyword research, on-page optimization, off-page optimization, content marketing, analytics"
SECURITY SPECIALIST,"security, network security, firewalls, ids/ips, vulnerability management, penetration testing, security auditing"
Selenium Engineer,"selenium, test automation, java, python, webdriver, ci/cd, testing frameworks"
Senior Ansible Development Engineer,"ansible, automation, infrastructure as code, cloud computing, aws, azure, linux, python, scripting, networking, leadership"
Senior Cloud Architect,"cloud architecture, aws, azure, google cloud, microservices, kubernetes, docker, security, leadership"
Senior DevOps Architect,"cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking, leadership"
Senior DevOps Engineer,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, cloud computing, leadership"
Senior DevSecOps Architect,"devsecops, cloud security, kubernetes, docker, terraform, ansible, ci/cd, security automation, vulnerability management, leadership"
Senior SRE Architect,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python, networking, leadership"
Senior SRE Engineer,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python, networking, leadership"
Sharepoint Developer,"sharepoint, .net, c#, javascript, powershell, sharepoint framework, rest apis"
Software Developer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
Software Engineer,"java, c++, python, algorithms, data structures, software design, git, jenkins, ci/cd, cloud computing"
SonarQube Engineer,"sonarqube, code quality, static code analysis, java, .net, security, ci/cd"
Splunk Engineer,"splunk, data analysis, log management, security, dashboards, alerting, scripting, linux, aws, azure"
Splunk Enterprise Security Engineer,"splunk enterprise security, security information and event management (siem), threat detection, incident response, security analysis"
SQL Developer,"sql, t-sql, sql server, database design, performance tuning, etl, ssrs, ssis, data modeling"
SRE Architect,"sre, cloud architecture, kubernetes, docker, monitoring, incident management, automation, ci/cd, networking"
SRE Engineer,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python"
SYSTEMS ADMINISTRATOR,"linux administration, windows server administration, networking, troubleshooting, scripting, virtualization"
SYSTEMS ENGINEER,"systems design, linux administration, windows server administration, networking, cloud computing"
TeamCity Engineer,"teamcity, ci/cd, build automation, version control, git"
Tech Sales Engineer,"technical sales, product knowledge, customer engagement, networking technologies"
TECHNICAL ACCOUNT MANAGER,"account management, technical support, customer relationship management (crm), project management"
TECHNICAL LEAD,"team leadership, project management, software development lifecycle (sdlc), agile methodologies"
Terraform Engineer,"terraform, infrastructure as code (iac), aws, azure, google cloud"
TFS Engineer,"tfs (team foundation server), .net development tools, .net framework"
UDeploy Engineer,"udeploy (urbancode deploy), ci/cd, automation, deployment strategies, version control"
UI DESIGNER,"ui design principles, wireframing, prototyping, adobe creative suite, figma, user testing"
UI Developer,"html5, css3, javascript, jquery, responsive design, angularjs, reactjs"
Unity Developer,"unity3d engine, c#, game development principles, 3d modeling, animation"
UX DESIGNER,"user experience design principles, user research, wireframing, prototyping, usability testing, interaction design"
Vault Engineer,"hashicorp vault, secrets management, encryption, access control, cloud security"
Web Designer (UI/UX Designer),"ui/ux design, wireframing, prototyping, adobe creative suite, figma"
Web Developer,"html5, css3, javascript, react, node.js, angularjs, php"
WordPress Developer,"wordpress, php, mysql, html5, css3, javascript"
XL Deploy Engineer,"xl deploy, deployment automation, ci/cd, version control"
Zabbix Engineer,"zabbix, monitoring tools, alerting systems, network monitoring"
ACCESSIBILITY SPECIALIST,"web accessibility guidelines, html, css, javascript, user experience design"
ADMIN BIG DATA,"big data management, hadoop, spark, data warehousing, sql"
AGILE PROJECT MANAGER,"agile methodologies, scrum, kanban, project management tools, leadership"
ANDROID DEVELOPER,"java, kotlin, android sdk, mobile app development, ui/ux design"
ANSIBLE AUTOMATION ENGINEER,"ansible, automation scripts, linux, networking, cloud computing"
APPLICATION SECURITY ENGINEER,"security protocols, penetration testing, secure coding practices, compliance"
ARTIFACTORY ADMINISTRATOR,"artifactory, repository management, devops tools, ci/cd pipelines"
ARTIFACTORY ENGINEER,"artifactory, devops practices, continuous integration, software packaging"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"ai/ml frameworks, leadership, strategic planning, data science"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"advanced ai/ml, leadership, strategic vision, team management"
ARTIFICIAL INTELLIGENCE ARCHITECT,"ai/ml frameworks, system architecture, cloud computing, data modeling"
ARTIFICIAL INTELLIGENCE RESEARCHER,"research methodologies, ai/ml algorithms, python, data analysis"
AWS DEVOPS ENGINEER,"aws services, devops practices, ci/cd pipelines, automation"
AWS SOLUTIONS ARCHITECT,"aws services, cloud architecture, solution design, cost optimization"
AZURE DEVOPS ENGINEER,"azure services, devops practices, ci/cd pipelines, automation"
BAMBOO ENGINEER,"bamboo, ci/cd pipelines, build automation, software configuration management"
BIG DATA ARCHITECT,"big data technologies, hadoop, spark, data warehousing, system design"
BIG DATA ENGINEER,"hadoop, spark, etl processes, data processing, database management"
BIG DATA SPECIALIST,"big data technologies, data analysis, sql, data mining"
BITBUCKET ENGINEER,"bitbucket, git, version control, ci/cd integration"
BLOCKCHAIN DEVELOPER,"blockchain technologies, solidity, cryptography, smart contracts"
BUILD AND RELEASE ENGINEER,"ci/cd pipelines, build systems, automation, configuration management"
BUILD ENGINEER,"build systems, scripting, automation, software configuration management"
BUSINESS SYSTEMS ANALYST,"requirements gathering, process analysis, system design, documentation"
C# DEVELOPER,"c#, .net framework, asp.net, software development, object-oriented programming"
CHEF INSPEC ENGINEER,"chef inspec, compliance automation, infrastructure testing, ruby"
CHEF OPERATIONS ENGINEER,"chef, automation, infrastructure management, ruby"
CLOUD ADMINISTRATOR,"cloud platforms, system administration, virtualization, networking"
CLOUD ARCHITECT,"cloud platforms, system architecture, cloud security, devops"
CLOUD AUTOMATION ENGINEER,"cloud automation tools, scripting, configuration management, devops"
CLOUD NETWORK ENGINEER,"cloud networking, virtual networks, network security, cloud platforms"
CLOUD SECURITY ENGINEER,"cloud security, security protocols, compliance, cloud platforms"
CNC PROGRAMMER,"cnc machines, cad/cam software, g-code, manufacturing processes"
CODER,"programming languages, scripting, problem solving, software development"
COMPUTER GRAPHICS ANIMATOR,"animation software, 3d modeling, visual effects, graphic design"
COMPUTER HARDWARE ENGINEER,"hardware design, circuit design, embedded systems, testing"
COMPUTER NETWORK ARCHITECT,"network design, network protocols, security, system architecture"
COMPUTER PROGRAMMER,"programming languages, algorithms, software development, debugging"
COMPUTER RESEARCH SCIENTIST,"research methodologies, data analysis, programming, scientific writing"
COMPUTER SYSTEMS ANALYST,"systems analysis, requirements gathering, process improvement, it consulting"
CONFLUENCE ENGINEER,"confluence, atlassian suite, documentation, collaboration tools"
CONSUL ENGINEER,"consul, service discovery, infrastructure automation, networking"
COVERAGE.PY ENGINEER,"coverage.py, python testing, test coverage analysis, software quality"
DATA ANALYST,"data analysis, sql, data visualization, statistical analysis"
DATA ARCHITECT,"data modeling, database design, etl processes, data warehousing"
DATA ENGINEER,"etl processes, data warehousing, big data technologies, database management"
DATA MODELER,"data modeling techniques, database design, data governance, data analysis"
DATA SCIENTIST,"machine learning, statistical analysis, data mining, programming"
DATABASE ADMINISTRATOR,"database management, sql, performance tuning, backup and recovery"
DATADOG ENGINEER,"datadog, monitoring, system performance, cloud infrastructure"
DEVOPS ARCHITECT,"devops practices, cloud computing, automation, system architecture"
DEVOPS ENGINEER,"automation, ci/cd, cloud computing, scripting"
DEVOPS MANAGER,"devops practices, team leadership, project management, automation"
DEVSECOPS ARCHITECT,"devsecops practices, security automation, cloud security, system architecture"
DEVSECOPS ENGINEER,"security automation, ci/cd, cloud security, scripting"
DIRECTOR OF ENGINEERING,"leadership, software development, project management, team management"
DOCKER ENGINEER,"docker, containerization, orchestration, devops"
ELK ENGINEER,"elk stack, log management, data analysis, system monitoring"
EMBEDDED SOFTWARE ENGINEER,"embedded systems, c/c++, firmware development, hardware interfaces"
ENTRY LEVEL DEVELOPER,"programming basics, software development, problem solving, learning agility"
ENTRY LEVEL NETWORK ENGINEER,"networking basics, troubleshooting, system administration, learning agility"
ENTRY LEVEL PROGRAMMER,"programming basics, software development, problem solving, learning agility"
ENTRY LEVEL WEB DEVELOPER,"html, css, javascript, basic web development, learning agility"
ENVOY ENGINEER,"envoy proxy, service mesh, load balancing, networking"
FALCO ENGINEER,"falco, kubernetes security, cloud security, system monitoring"
FLUENTD ENGINEER,"fluentd, log aggregation, data collection, system monitoring"
FORTIFY ENGINEER,"fortify, static code analysis, application security, secure coding"
FRAMEWORKS SPECIALIST,"software frameworks, programming languages, problem solving, system design"
FRONT END DEVELOPER,"html, css, javascript, ui/ux design, responsive design"
FULL STACK DEVELOPER,"html, css, javascript, back-end technologies, database management"
FULL STACK JAVA DEVELOPER/PROGRAMMER/ENGINEER,"java, spring, hibernate, html, css, javascript"
FULL STACK PYTHON DEVELOPER/PROGRAMMER/ENGINEER,"python, django, flask, html, css, javascript"
GAME DEVELOPER,"c++, c#, game engines, 3d modeling, game design"
GCP DEVOPS ENGINEER,"google cloud platform, devops practices, ci/cd pipelines, automation"
GERRIT ADMINISTRATOR,"gerrit, code review, git, version control"
GIT ENGINEER,"git, version control, branching strategies, collaboration"
GITHUB ENGINEER,"github, git, collaboration tools, ci/cd integration"
GITLAB ENGINEER,"gitlab, git, ci/cd pipelines, devops practices"
GRADLE ENGINEER,"gradle, build automation, java, software configuration management"
GRAFANA ENGINEER,"grafana, data visualization, monitoring, system performance"
GROOVY ENGINEER,"groovy, scripting, automation, software development"
INFORMATION ARCHITECT,"information architecture, user experience design, content strategy, taxonomy"
INFORMATION SECURITY ANALYST,"security protocols, threat analysis, compliance, incident response"
INTERACTION DESIGNER,"interaction design, user research, prototyping, usability testing"
IOS DEVELOPER,"swift, objective-c, ios sdk, mobile app development, ui/ux design"
ISTIO ENGINEER,"istio, service mesh, traffic management, security"
IT MANAGER,"it management, team leadership, project management, budgeting"
JACOCO ENGINEER,"jacoco, code coverage, java testing, software quality"
JAVA DEVELOPER,"java, spring, hibernate, software development, object-oriented programming"
JENKINS ENGINEER,"jenkins, ci/cd pipelines, build automation, devops practices"
JIRA ADMINISTRATOR,"jira, atlassian suite, workflow configuration, project management"
JUNIOR FRONT END DEVELOPER,"html, css, javascript, basic web development, learning agility"
JUNIOR IOS DEVELOPER,"swift, objective-c, ios sdk, basic mobile app development, learning agility"
JUNIT ENGINEER,"junit, java testing, test automation, software quality"
KUBERNETES OPERATIONS ENGINEER,"kubernetes, container orchestration, cloud computing, devops practices"
MACHINE LEARNING ARCHITECT,"machine learning algorithms, system architecture, cloud computing, data modeling"
MACHINE LEARNING ENGINEER,"machine learning algorithms, python, data analysis, model deployment"
MAVEN ENGINEER,"maven, build automation, java, software configuration management"
MOBILE APP DEVELOPER,"mobile app development, ios/android sdks, ui/ux design, programming languages"
MULESOFT DEVELOPER,"mulesoft anypoint platform, api integration, java, integration patterns"
NAGIOS ENGINEER,"nagios, system monitoring, linux, networking"
NETWORK AND SYSTEMS ADMINISTRATOR,"networking, system administration, linux/windows servers, troubleshooting"
NETWORK ENGINEER,"networking protocols, cisco/juniper devices, network security, troubleshooting"
NEW RELIC ENGINEER,"new relic, application performance monitoring, troubleshooting, cloud computing"
NEXUS ENGINEER,"nexus repository manager, artifact management, devops practices"
NOMAD ENGINEER,"nomad, container orchestration, hashicorp tools, infrastructure automation"
NOTARY ENGINEER,"notary, container security, docker, cryptography"
OCTOPUS DEPLOY ENGINEER,"octopus deploy, deployment automation, .net, powershell"
OPENSHIFT ENGINEER,"openshift, kubernetes, containerization, devops practices"
OPENSTACK ENGINEER,"openstack, cloud computing, virtualization, system administration"
OPERATIONS ENGINEER,"system administration, linux/windows servers, troubleshooting, scripting"
ORACLE DEVELOPER,"oracle database, sql, pl/sql, database development"
